"unregion","model","crps_mean","crps_diff","elpd","elpd_diff","cov80","cov95"
"Eastern","rhybrid","1.04","0.00 (0.00)","160.57","0.0 (0.0)","75.2%","91.3%"
"Eastern","rspline","1.11","0.07 (0.03)","123.74","-36.8 (11.1)","72.1%","87.9%"
"Eastern","rtrend","1.16","0.12 (0.04)","98.43","-62.1 (14.8)","70.0%","86.4%"
"Middle","rhybrid","0.66","0.00 (0.00)","7.50","0.0 (0.0)","70.6%","82.4%"
"Middle","rspline","0.72","0.06 (0.09)","1.81","-5.7 (4.2)","47.1%","82.4%"
"Middle","rtrend","0.59","-0.07 (0.07)","10.51","3.0 (2.5)","70.6%","82.4%"
"Southern","rhybrid","1.54","0.00 (0.00)","35.43","0.0 (0.0)","63.0%","85.2%"
"Southern","rspline","1.64","0.09 (0.08)","25.31","-10.1 (6.1)","51.9%","81.5%"
"Southern","rtrend","1.47","-0.07 (0.08)","40.04","4.6 (5.9)","64.8%","79.6%"
"Western","rhybrid","0.38","0.00 (0.00)","42.18","0.0 (0.0)","84.2%","98.7%"
"Western","rspline","0.43","0.05 (0.03)","20.66","-21.5 (14.7)","81.6%","89.5%"
"Western","rtrend","0.52","0.14 (0.04)","13.31","-28.9 (10.2)","72.4%","86.8%"
"All","rhybrid","0.98","0.00 (0.00)","245.68","0.0 (0.0)","75.1%","91.5%"
"All","rspline","1.05","0.07 (0.02)","171.52","-74.2 (19.8)","70.4%","87.2%"
"All","rtrend","1.07","0.09 (0.03)","162.29","-83.4 (19.2)","69.8%","85.5%"
