surveyid,year,region,prev,se,counts
TZ2003AIS,2003,Arusha,0.053115282,0.019540731,495
TZ2007AIS,2007,Arusha,0.016355029,0.006262824,411
TZ2012AIS,2012,Arusha,0.032058274,0.010455232,546
TZ2017THIS,2017,Arusha,0.0186,0.0135,200.3186831
TZ2003AIS,2003,Dar Es Salaam,0.109055615,0.013161179,725
TZ2007AIS,2007,Dar Es Salaam,0.092845404,0.013733986,599
TZ2012AIS,2012,Dar Es Salaam,0.06898308,0.00867687,1050
TZ2017THIS,2017,Dar Es Salaam,0.0425,0.0088,1050.974948
TZ2003AIS,2003,Dodoma,0.048774469,0.012006832,454
TZ2007AIS,2007,Dodoma,0.032507716,0.016076156,427
TZ2012AIS,2012,Dodoma,0.028644981,0.014639829,456
TZ2017THIS,2017,Dodoma,0.0416,0.0208,184.3076923
TZ2003AIS,2003,Geita,0.070548731,0.016208652,316
TZ2007AIS,2007,Geita,0.044238288,0.0091599,319
TZ2012AIS,2012,Geita,0.046962263,0.008098442,971
TZ2017THIS,2017,Geita,0.0518,0.0211,220.6453584
TZ2003AIS,2003,Iringa,0.130531176,0.047144477,235
TZ2007AIS,2007,Iringa,0.181856035,0.038164573,268
TZ2012AIS,2012,Iringa,0.091376945,0.018923211,480
TZ2017THIS,2017,Iringa,0.1119,0.023,375.7217013
TZ2003AIS,2003,Kagera,0.034029527,0.011920442,482
TZ2007AIS,2007,Kagera,0.035497595,0.010856985,492
TZ2012AIS,2012,Kagera,0.048098566,0.016472555,607
TZ2017THIS,2017,Kagera,0.0678,0.025,202.250112
TZ2003AIS,2003,Katavi,0.055444006,0.029587389,171
TZ2007AIS,2007,Katavi,0.050296251,0.009471492,171
TZ2012AIS,2012,Katavi,0.059381669,0.012284579,472
TZ2017THIS,2017,Katavi,0.0542,0.015,455.6654222
TZ2003AIS,2003,Kigoma,0.020192818,0.007967735,561
TZ2007AIS,2007,Kigoma,0.017583954,0.007372173,614
TZ2012AIS,2012,Kigoma,0.034353317,0.014797617,661
TZ2017THIS,2017,Kigoma,0.0304,0.0144,284.2962963
TZ2003AIS,2003,Kilimanjaro,0.073400994,0.019906897,441
TZ2007AIS,2007,Kilimanjaro,0.018871498,0.004140843,538
TZ2012AIS,2012,Kilimanjaro,0.038229219,0.008517345,515
TZ2017THIS,2017,Kilimanjaro,0.0218,0.0095,472.5708587
TZ2003AIS,2003,Lindi,0.035508684,0.014663706,408
TZ2007AIS,2007,Lindi,0.037648691,0.005991903,486
TZ2012AIS,2012,Lindi,0.029255503,0.007702955,514
TZ2017THIS,2017,Lindi,0.0033,0.0045,324.8503704
TZ2003AIS,2003,Manyara,0.019967936,0.00957233,581
TZ2007AIS,2007,Manyara,0.015488226,0.004679226,540
TZ2012AIS,2012,Manyara,0.014977799,0.005842186,674
TZ2017THIS,2017,Manyara,0.0177,0.0094,393.5425532
TZ2003AIS,2003,Mara,0.034510324,0.010061042,489
TZ2007AIS,2007,Mara,0.077134378,0.025728991,634
TZ2012AIS,2012,Mara,0.044527141,0.008637318,717
TZ2017THIS,2017,Mara,0.0326,0.0102,606.2522107
TZ2003AIS,2003,Mbeya,0.153289398,0.01721784,403
TZ2007AIS,2007,Mbeya,0.102138129,0.016934468,341
TZ2012AIS,2012,Mbeya,0.100500626,0.016371258,394
TZ2017THIS,2017,Mbeya,0.0921,0.0192,453.6544596
